Product_No,Product_tech_specs
1000,"AWG: 18|Abschirmung: ohne Schirmung|Anschluss-Typ: IDE|Anschlusstyp A (bzw. Eingänge): IDE-Strom-Stecker 4pol.|Anschlusstyp B (bzw. Ausgänge): IDE-Strom-Buchse 4pol.|Anzahl Anschluss A: 1 x|Anzahl Anschluss B: 2 x|Herstellerfarbe: Schwarz, Rot, Gelb|Innenleiter-Material: Kupfer|Kabel-Anwendung: Strom|Kabel-Ausführung: Verlängerungskabel|Kabel-Form: rund|Kabellänge: 20.00 cm|Produkt-Art: Strom Verlängerungskabel|Steckerausführung: gerade"
1001,AWG: 18|Abschirmung: ohne Schirmung|Anschluss-Typ: Mainboard|Anschlusstyp A (bzw. Eingänge): ATX-Strom-Stecker 14pol.|Anschlusstyp B (bzw. Ausgänge): ATX-Strom-Buchse 24pol.|Anzahl Anschluss A: 1 x|Anzahl Anschluss B: 1 x|Herstellerfarbe: Bunt|Innenleiter-Material: Kupfer|Kabel-Anwendung: Strom|Kabel-Ausführung: Anschlusskabel|Kabel-Form: rund|Kabellänge: 25.00 cm|Produkt-Art: Strom Anschlusskabel|Steckerausführung: gerade
1002,"Anschluss-Typ: SATA, PCI-Express|Anschlusstyp A (bzw. Eingänge): SATA-Strom-Stecker 15pol.|Anschlusstyp B (bzw. Ausgänge): PCIe-Stecker 6pol.|Anzahl Anschluss A: 2 x|Anzahl Anschluss B: 1 x|Herstellerfarbe: Schwarz, Gelb|Kabel-Anwendung: Strom|Kabel-Ausführung: Adapter|Kabel-Besonderheiten: gesleeved|Kabel-Form: rund|Kabellänge: 15.00 cm|Produkt-Art: Strom Adapter|Steckerausführung: gerade,"
1003,Anschluss-Typ: Kaltgeräte|Anschlusstyp A (bzw. Eingänge): Schutzkontakt-Stecker|Anschlusstyp B (bzw. Ausgänge): Kaltgeräte-Buchse C13|Anzahl Anschluss A: 1 x|Anzahl Anschluss B: 1 x|Herstellerfarbe: Schwarz|Kabel-Anwendung: Kaltgeräte|Kabel-Ausführung: Anschlusskabel|Kabel-Form: rund|Kabellänge: 3.00 m|Produkt-Art: Kaltgeräte Anschlusskabel|Steckerausführung: einseitig gewinkelt
1004,"AWG: 26/7|Anschluss-Typ: RJ45|Anschlusstyp A (bzw. Eingänge): RJ45-Stecker|Anschlusstyp B (bzw. Ausgänge): RJ45-Stecker|Anzahl Anschluss A: 1 x|Anzahl Anschluss B: 1 x|Halogenfrei: Nein|Herstellerfarbe: Gelb|Innenleiter-Material: CCA|Kabel-Anwendung: Netzwerk|Kabel-Ausführung: Anschlusskabel|Kabel-Besonderheiten: verdrillte Paare|Kabel-Form: rund|Kabellänge: 0.50 m|Netzwerk-Spezifikation: CAT 5e|Produkt-Art: Netzwerkkabel, Patchkabel|Schirmung (Netzwerkkabel): U/UTP|Steckerausführung: gerade"
1005,"Anschlusstyp A (bzw. Eingänge): Kaltgeräte-Stecker C14|Anschlusstyp B (bzw. Ausgänge): Kaltgeräte-Buchse C13, Kaltgeräte-Buchse C13|Herst.-Teilenr.: 073331|Herstellerfarbe: Schwarz|Inhalt: 1 St.|Nennspannung: 250 V/AC|Nennstrom: 10 A|Produkt-Art: Kaltgeräte-Adapter|RoHS-konform: Ja|Steckverbinder-Bauform: Adapter, gerade|||Typ (Hersteller-Typ): 073331,"
1007,"Anschlusstyp A     (bzw. Eingänge): Kleeblatt-Buchse C5|Anschlusstyp B (bzw. Ausgänge): offene Kabelenden|Anzahl Adern: 3|Gesamtpolzahl: 2 + PE|Herst.-Teilenr.: 808675|Herstellerfarbe: Schwarz|Inhalt: 1 St.|Kabellänge: 0.50 m|Nennspannung: 250 V/AC|Nennstrom: 2.5 A|Polzahl (num): 2|Produkt-Art: Netz-Anschlusskabel|RoHS-konform: Ja|Steckverbinder-Bauform: Buchse--, gerade|Temperaturbereich (Details): -20 - +105 °C|Typ (Hersteller-Typ): 808675|Voreilender Kontakt (PE): Ja,"
1008,"Anschlusstyp A (bzw. Eingänge): PowerCon-Buchse|Anschlusstyp B (bzw. Ausgänge): offene Kabelenden|Gesamtpolzahl: 3|Herst.-Teilenr.: NKFCA30-0|Herstellerfarbe: Schwarz|Inhalt: 1 St.|Kabellänge: 3.00 m|Nennspannung: 230 V|Nennstrom: 16 A|Polzahl (num): 3|Produkt-Art: Netz-Anschlusskabel|Steckverbinder-Bauform: Buchse, gerade|Typ (Hersteller-Typ): NKFCA30-0"
1009,"Anschlusstyp A (bzw. Eingänge): Schutzkontakt-Gummi-Stecker|Anschlusstyp B (bzw. Ausgänge): Schutzkontakt-Gummi-Kupplung|Betriebsspannung (Details): 230 V|Einsatzort: Außenbereich|Herstellerfarbe: Rot|Kabel-Anwendung: Strom|Kabel-Ausführung: Verlängerungskabel|Kabel-Typ nach DIN/VDE: H07RN-F 3G 1,5 mm²|Kabellänge: 10.00 m|Nennstrom: 16 A|Produkt-Art: Strom Verlängerungskabel|Schutzart: IP44|Steckerausführung: gerade,"
1006,"AWG: 26/7|Anschluss-Typ: RJ45|||Anschlusstyp A (bzw. Eingänge): RJ45-Stecker|Anschlusstyp B (bzw. Ausgänge): RJ45-Buchse|Anzahl Anschluss A: 1 x|Anzahl Anschluss B: 1 x|Halogenfrei: Nein|Herstellerfarbe: Violett|Kabel-Anwendung: Netzwerk|Kabel-Ausführung: Verlängerungskabel|Kabel-Besonderheiten: mit Rastnasenschutz, vergoldete Steckkontakte|Kabel-Form: rund|Kabellänge: 15.00 m|||Netzwerk-Spezifikation: CAT 6|||Produkt-Art: Netzwerkkabel, Patchkabel|||Schirmung (Netzwerkkabel): S/FTP|Steckerausführung: gerade"
